职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
区域销售经理（昌平区）J15193,外商独资,10000人以上,2019-09-20 00:52:09,大专,销售管理,3-5年,捷信消费金融有限公司,10K-15K,北京-昌平区,五险一金绩效奖金带薪年假补充医疗保险
高级理财顾问,民营,20-99人,2019-09-20 00:50:59,学历不限,证券/期货/投资管理/服务,不限,北京中创永辉投资管理有限公司,10K-15K,北京,五险一金带薪年假节日福利带团队公司重点项目
行政专员,民营,20人以下,2019-09-20 00:52:07,学历不限,行政/后勤/文秘,1-3年,上海智畅投资管理有限公司,4K-6K,上海,五险一金不加班周末双休全额公积金带薪年假
销售经理/客户代表/电话销售—杨浦区,股份制企业,1000-9999人,2019-09-20 00:52:17,学历不限,销售管理,不限,平安普惠投资咨询有限公司上海宝山分公司,15K-30K,上海,年底双薪交通补助带薪年假补充医疗保险定期体检
客户经理,股份制企业,20-99人,2019-09-20 13:33:01,大专,销售管理,不限,阳光财产保险股份有限公司滨州中心支公司,8K-16K,滨州,五险一金绩效奖金采暖补贴定期体检员工旅游
股票交易员,民营,20-99人,2019-09-20 09:35:54,大专,证券/期货/投资管理/服务,不限,沈阳证商联创商务信息咨询有限公司,6K-8K,沈阳-沈河区,年底双薪绩效奖金年终分红包住餐补
Operational Analyst,外商独资,20人以下,2019-09-20 00:51:09,本科,行政/后勤/文秘,1-3年,汉柏巍投资咨询(北京)有限公司,5K-10K,北京,五险一金带薪年假定期体检年底双薪全额公积金
客服专员,民营,100-499人,2019-09-20 00:52:22,中专,互联网产品/运营管理,不限,北京亿品商务咨询有限公司,4K-6K,北京-海淀区,创业公司年底双薪年终分红全勤奖带薪年假
资产管理专员(应届生),合资,20-99人,2019-09-20 14:30:40,大专,证券/期货/投资管理/服务,无经验,科誉高瞻融资租赁(中国)有限公司,4K-6K,上海,五险一金通讯补助带薪年假补充医疗保险定期体检
行政专员,民营,100-499人,2019-09-20 09:44:01,学历不限,行政/后勤/文秘,1-3年,恒远鑫达科技集团有限公司,5K-6K,北京-通州区,五险一金绩效奖金免费班车免费停车
融资总监,股份制企业,100-499人,2019-09-20 00:51:16,本科,高级管理,5-10年,中福佳信集团有限公司,20K-30K,北京,五险一金绩效奖金年终分红交通补助餐补
行政,上市公司,10000人以上,2019-09-20 13:36:05,大专,行政/后勤/文秘,不限,中国平安人寿保险股份有限公司四川分公司新渠道事业部,3.5K-5K,成都,五险一金周末双休带薪年假全勤奖定期体检
招聘业务主管/储备营业部经理,股份制企业,500-999人,2019-09-20 00:51:42,大专,销售管理,不限,上海阔礼商务咨询有限公司淮安分公司,10K-15K,淮安,弹性工作节日福利员工旅游绩效奖金补充医疗保险
招聘经理/主管,民营,100-499人,2019-09-20 00:51:21,学历不限,人力资源,不限,励恒资产管理有限公司,10K-15K,无锡,五险一金绩效奖金全勤奖通讯补助餐补
民生银行云柜员,民营,500-999人,2019-09-20 13:40:03,本科,银行,不限,民生电商控股(深圳)有限公司,6K-8K,贵阳-观山湖区（金阳新区）,
理财经理,民营,10000人以上,2019-09-20 00:50:54,本科,证券/期货/投资管理/服务,1-3年,北京恒天明泽基金销售有限公司南京分公司,10K-15K,南京,五险一金全勤奖绩效奖金年终分红股票期权
理财师,民营,20-99人,2019-09-20 00:50:59,学历不限,销售业务,1-3年,北京中创永辉投资管理有限公司,10K-15K,北京,五险一金带薪年假节日福利带团队公司重点项目
区域销售经理（海淀区）(J17576),外商独资,10000人以上,2019-09-20 00:52:09,大专,销售管理,3-5年,捷信消费金融有限公司,5K-10K,北京-海淀区,五险一金带薪年假补充医疗保险
出纳-会计-办公室助理（周末双休）,民营,20人以下,2019-09-20 00:51:41,大专,财务/审计/税务,不限,青岛财益聚投资管理有限公司,3.5K-4.5K,青岛,创业公司周末双休五险一金年底双薪加班补助
财务主管,民营,20-99人,2019-09-20 00:51:22,本科,财务/审计/税务,3-5年,重庆九谷谷仓食品有限公司,6K-8K,重庆,节日福利五险周末双休
市场推广经理,国企,10000人以上,2019-09-20 00:52:36,大专,市场,不限,兴业银行股份有限公司沧州分行,6K-8K,沧州,五险一金绩效奖金交通补助通讯补助定期体检
电话销售 （5天8小时 双休）,民营,20-99人,2019-09-20 00:51:57,学历不限,销售业务,不限,苏州富利达投资管理有限公司,6K-8K,苏州-姑苏区,五险一金绩效奖金全勤奖带薪年假弹性工作
招生老师课程顾问,民营,100-499人,2019-09-20 00:51:49,学历不限,咨询/顾问/调研/数据分析,不限,深圳市新晨国际教育集团有限公司,8K-10K,深圳-罗湖区,年底双薪弹性工作带薪年假绩效奖金
分析师,民营,100-499人,2019-09-20 00:52:58,大专,证券/期货/投资管理/服务,无经验,铭讫聚富科技成都有限公司,4K-6K,成都,五险一金全勤奖绩效奖金带薪年假
大客户销售代表,上市公司,1000-9999人,2019-09-20 00:51:22,本科,销售业务,不限,深圳市赢时胜信息技术股份有限公司上海分公司,7K-14K,上海-浦东新区,五险一金绩效奖金加班补助带薪年假
客户经理,国企,1000-9999人,2019-09-20 00:51:42,大专,销售管理,不限,新华人寿保险股份有限公司江苏分公司江宁支公司,8K-15K,南京,
旅游顾问,民营,20-99人,2019-09-20 14:21:10,学历不限,客服/售前/售后技术支持,1-3年,陕西乐融投资集团有限责任公司,2K-4K,西安-碑林区,交通补助全勤奖通讯补助带薪年假节日福利
知识产权商务顾问,民营,500-999人,2019-09-20 00:50:31,大专,律师/法务/合规,3-5年,北京东灵通知识产权服务有限公司,15K-30K,北京,五险一金绩效奖金带薪年假定期体检员工旅游
策划经理,民营,20-99人,2019-09-20 00:51:22,大专,互联网产品/运营管理,1-3年,成都市藩信宏业融资担保有限公司,8K-10K,成都,节日福利五险一金带薪年假员工旅游周末双休
人事助理,上市公司,10000人以上,2019-09-20 00:50:26,大专,人力资源,不限,中国平安人寿保险股份有限公司河南分公司展业部,4K-6K,郑州,绩效奖金弹性工作不加班节日福利周末双休
营销顾问+五险一金+周末双休,民营,100-499人,2019-09-20 14:22:11,学历不限,销售业务,不限,万象春天实业集团(武汉)有限公司,10K-15K,武汉,五险一金绩效奖金年终分红节日福利周末双休
财富规划管培生,民营,500-999人,2019-09-20 00:52:33,本科,证券/期货/投资管理/服务,1年以下,深圳市金斧子网络科技有限公司,6K-8K,广州-天河区,五险一金定期体检不加班节日福利每年多次调薪
理财顾问,民营,500-999人,2019-09-20 00:50:51,大专,证券/期货/投资管理/服务,不限,深圳市盟大商务咨询有限公司,15K-20K,深圳,五险一金绩效奖金弹性工作员工旅游节日福利
APP线下推广专员,股份制企业,500-999人,2019-09-20 00:51:42,中专,销售管理,不限,上海阔礼商务咨询有限公司淮安分公司,6K-8K,淮安,弹性工作节日福利员工旅游绩效奖金补充医疗保险
