职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
线上运营专员,民营,20-99人,2019-09-20 00:52:53,学历不限,互联网产品/运营管理,不限,吉林省访安智能科技有限公司,4K-6K,长春,五险一金节日福利带薪年假
网站运营专员,民营,20人以下,2019-09-20 00:51:55,大专,互联网产品/运营管理,1-3年,江阴久中国际贸易有限公司,4K-6K,无锡-江阴市,绩效奖金餐补通讯补助弹性工作节日福利
急聘/豪宅运营专员/无责底薪7500-9000,民营,1000-9999人,2019-09-20 14:14:35,本科,项目管理/项目协调,不限,北京丽兹行房地产顾问有限公司-BJ8,10K-15K,北京,绩效奖金全勤奖带薪年假六险一金每年多次调薪
电商运营专员,民营,100-499人,2019-09-20 00:51:13,大专,互联网产品/运营管理,1-3年,新苑阳光农业有限公司,4K-6K,廊坊,五险一金年底双薪绩效奖金全勤奖交通补助
新媒体运营专员,民营,20人以下,2019-09-20 00:52:35,大专,互联网产品/运营管理,1-3年,武汉轩辰文化传媒有限公司,4K-6K,武汉,五险一金弹性工作
新媒体内容运营专员,民营,20-99人,2019-09-20 00:51:33,大专,互联网产品/运营管理,1-3年,上海妙之电子商务有限公司,8K-10K,上海,五险一金绩效奖金加班补助全勤奖年终分红
运营专员,股份制企业,20-99人,2019-09-20 00:51:24,本科,互联网产品/运营管理,1-3年,江苏金马运业集团股份有限公司,4K-5K,泰州-靖江市,五险一金节日福利员工旅游
新媒体运营专员,民营,20-99人,2019-09-20 14:22:26,本科,公关/媒介,1-3年,南京宜圆堂网络科技有限公司,4K-6K,南京,绩效奖金补充医疗保险大牛带队带团队定期团建
网店运营专员,民营,100-499人,2019-09-20 00:50:20,大专,互联网产品/运营管理,1-3年,广州捷文建材有限公司,5K-8K,广州-番禺区,节日福利绩效奖金全勤奖餐补房补
新媒体运营专员,外商独资,20-99人,2019-09-20 00:51:40,大专,互联网产品/运营管理,1-3年,瑞麟天下节能技术(北京)有限公司,4K-7K,北京-朝阳区,五险一金节日福利公司重点项目绩效奖金带团队
新媒体运营专员,民营,100-499人,2019-09-20 00:51:03,本科,互联网产品/运营管理,1-3年,hooli,6K-10K,北京,五险一金弹性工作补充医疗保险健身俱乐部带薪年假
新媒体运营专员,民营,20-99人,2019-09-20 00:50:41,学历不限,影视/媒体/出版/印刷,不限,青岛一介书生文化传播有限公司,5K-8K,青岛,五险一金绩效奖金带薪年假弹性工作节日福利
市场公关/品牌运营专员,民营,20-99人,2019-09-20 00:51:21,本科,市场,1-3年,深圳市鼎付优达科技服务有限公司,6K-10K,深圳,五险一金年底双薪餐补定期体检节日福利
新媒体运营专员,民营,不限,2019-09-20 00:50:23,大专,互联网产品/运营管理,1-3年,石家庄米墅装饰工程有限公司,2K-4K,石家庄-长安区,绩效奖金员工旅游餐补全勤奖
新媒体运营专员,民营,100-499人,2019-09-20 00:50:24,大专,互联网产品/运营管理,1-3年,合肥安心家政服务有限公司,4K-6K,合肥,节日福利免费停车餐补
海外流量运营专员,股份制企业,100-499人,2019-09-20 09:17:35,本科,市场,3-5年,厦门旺集信息科技有限公司,8K-16K,厦门-思明区,
运营专员,不限,20-99人,2019-09-20 00:52:20,中专,商超/酒店/娱乐管理/服务,无经验,江苏幸福蓝海影院发展有限责任公司南京建邺分公司,3.5K-4.5K,南京,五险一金年底双薪高温补贴节日福利带薪年假
新媒体运营专员,民营,20-99人,2019-09-20 00:52:06,大专,互联网产品/运营管理,1-3年,上海金蝙金蝠娱乐咨询管理有限公司,6K-7K,上海,股票期权加班补助带薪年假创业公司绩效奖金
【五险一金】亚马逊（日本）运营销售专员,民营,20-99人,2019-09-20 00:50:03,本科,采购/贸易,1-3年,郑州美舫进出口贸易有限公司,5K-10K,郑州,五险一金全勤奖带薪年假绩效奖金
电商运营专员,股份制企业,100-499人,2019-09-20 00:50:07,中技,互联网产品/运营管理,不限,深圳市皓勤电子有限公司,4K-6K,河源-源城区,包吃包住全勤奖五险一金带薪年假
今日头条广告增值运营专员,民营,10000人以上,2019-09-20 00:52:06,本科,互联网产品/运营管理,1-3年,北京字节跳动科技有限公司,7K-14K,无锡,六险一金餐补节日福利每年多次调薪试用期全额
商务运营专员,民营,100-499人,2019-09-20 00:52:53,大专,销售行政/商务,1-3年,广州铭医在线健康管理有限公司,5K-7K,广州,周末双休年底双薪节日福利员工旅游五险一金
阿里巴巴国际运营/跨境电商专员,民营,20-99人,2019-09-20 14:04:26,本科,互联网产品/运营管理,1-3年,深圳市重子声学科技有限公司,8K-16K,深圳,五险一金绩效奖金全勤奖包吃带薪年假
宁夏翰融电商运营部客服专员,民营,100-499人,2019-09-20 00:52:31,学历不限,销售业务,不限,宁夏翰融信息科技有限公司,4.3K-6K,银川,免费停车通讯补助绩效奖金包吃餐补
天猫运营专员,民营,20人以下,2019-09-20 00:50:27,大专,互联网产品/运营管理,1-3年,深圳市天然时钟表珠宝有限公司,8K-15K,深圳,五险一金年底双薪绩效奖金免费停车通讯补助
线上运营专员,民营,100-499人,2019-09-20 00:51:30,大专,互联网产品/运营管理,1-3年,武汉侠尊蟹将餐饮有限公司,6K-8.9K,武汉-洪山区,绩效奖金五险一金带薪年假包住包吃
