职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
淘宝美工（五险一金+带薪年假+绩效奖金）,民营,20人以下,2019-09-20 14:41:02,大专,艺术/设计,1年以下,青岛艾凯伦电子商务有限公司,5K-8K,青岛,周末双休五险一金每年多次调薪绩效奖金年底双薪
淘宝美工,民营,100-499人,2019-09-20 14:10:08,大专,艺术/设计,1-3年,杭州纪卓鸿服饰有限公司,5K-8K,杭州,年底双薪绩效奖金加班补助全勤奖带薪年假
淘宝美工/淘宝设计,股份制企业,100-499人,2019-09-20 14:06:40,大专,影视/媒体/出版/印刷,1年以下,济南渔乐在线信息技术有限公司,5K-8K,济南,五险一金绩效奖金加班补助节日福利免费停车
电商美工/PS/拍照,民营,20人以下,2019-09-20 13:49:04,中专,艺术/设计,不限,博雅进出口贸易(深圳)有限公司,4K-5K,深圳,绩效奖金不加班五险一金节日福利全勤奖
淘宝美工助理餐补地铁口,民营,20-99人,2019-09-20 14:14:15,中专,艺术/设计,不限,广州星朵商贸有限公司,4K-6K,佛山-南海区,年底双薪绩效奖金加班补助全勤奖节日福利
淘宝美工助理/双休,民营,20-99人,2019-09-20 14:02:41,大专,艺术/设计,不限,深圳市慧智游戏网络有限公司,4K-5K,深圳-南山区,节日福利不加班周末双休五险一金年底双薪
急聘+美工助理/双休,股份制企业,100-499人,2019-09-20 14:50:04,学历不限,广告/会展,不限,郑州胜途信息技术有限公司,4K-6K,郑州-管城区,周末双休五险一金年底双薪带薪年假包住
美工平面设计,民营,100-499人,2019-09-20 00:52:10,大专,艺术/设计,不限,上饶市搏恩体育用品有限公司,4K-6K,上饶,年底双薪员工旅游节日福利不加班定期团建
前景好美工设计助理,民营,100-499人,2019-09-20 14:22:25,学历不限,互联网产品/运营管理,不限,成都菲朗科技有限公司,3.5K-5.5K,成都,五险一金年底双薪包住周末双休弹性工作
平面设计/天猫美工//淘宝美工/电商美工,民营,20-99人,2019-09-20 14:07:16,学历不限,艺术/设计,1-3年,河南华文信息技术有限公司,6K-10K,郑州,五险一金绩效奖金带薪年假周末双休项目奖金
淘宝美工/网页设计师/视频制作,民营,20人以下,2019-09-20 14:03:23,大专,软件/互联网开发/系统集成,1-3年,宁波市鄞州中河果敢卫浴设备商行,5K-8K,宁波,五险一金员工旅游创业公司绩效奖金节日福利
淘宝美工,民营,100-499人,2019-09-20 14:07:21,大专,艺术/设计,1年以下,济南惠购网络科技有限公司,4K-6K,济南,绩效奖金节日福利员工旅游年终分红
网页美工/设计助理,民营,20-99人,2019-09-20 14:02:41,大专,财务/审计/税务,不限,深圳市慧智游戏网络有限公司,4K-5K,深圳-南山区,节日福利不加班周末双休五险一金年底双薪
动漫美工设计助理4K,民营,100-499人,2019-09-20 14:38:04,大专,艺术/设计,不限,郑州聚力软件科技有限公司,4K-6K,郑州-金水区,周末双休五险一金全勤奖带薪年假弹性工作
急聘天猫淘宝美工4k-6k,民营,20-99人,2019-09-20 14:04:35,学历不限,艺术/设计,不限,郑州聚贝舒电子商务有限公司,4K-6K,郑州,定期团建全勤奖节日福利试用期全额带薪年假
美工、,外商独资,20-99人,2019-09-20 14:17:11,学历不限,艺术/设计,不限,宏亚商贸(上海)有限公司,4K-5K,上海,五险一金年底双薪带薪年假员工旅游
网店美工,民营,100-499人,2019-09-20 14:46:03,学历不限,艺术/设计,1-3年,河南欧特农业科技有限公司,8K-10K,郑州-惠济区,带薪年假节日福利年终分红员工旅游每年多次调薪
OPPO天猫淘宝电商美工平面设计,民营,1000-9999人,2019-09-20 14:34:04,学历不限,艺术/设计,不限,山西智宏新创电子科技有限公司,4K-6K,太原,五险一金年底双薪绩效奖金年终分红通讯补助
美工设计,民营,20人以下,2019-09-20 13:31:02,大专,艺术/设计,1-3年,北京悦和旅行社有限责任公司天津分公司,4K-6K,天津,绩效奖金餐补全勤奖带薪年假员工旅游
美工,民营,500-999人,2019-09-20 14:16:25,大专,艺术/设计,1-3年,山东佐田氏生物科技有限公司,4K-6K,济南,节日福利交通补助带薪年假通讯补助高温补贴
【今日头条】设计部美工,民营,20-99人,2019-09-20 14:14:07,大专,艺术/设计,不限,河北七度信息技术服务有限公司,3K-5K,石家庄,绩效奖金员工旅游节日福利每年多次调薪创业公司
美工,民营,20-99人,2019-09-20 14:08:05,大专,艺术/设计,1-3年,青岛呦呦高科网络技术有限公司,4K-6K,青岛-城阳区,五险一金绩效奖金弹性工作创业公司员工旅游
平面设计师/网页美工设计,民营,20-99人,2019-09-20 13:55:49,大专,软件/互联网开发/系统集成,不限,江苏润广宣网络技术有限公司,4K-6K,苏州,五险一金年底双薪加班补助带薪年假交通补助
淘宝美工,民营,500-999人,2019-09-20 14:33:35,学历不限,艺术/设计,不限,河南六凹六物联网科技有限公司,4K-6K,郑州,五险一金包住全勤奖年底双薪绩效奖金
天猫淘宝美工,民营,20人以下,2019-09-20 00:51:57,学历不限,艺术/设计,不限,河南佳辉防水材料有限公司,4K-6K,郑州,
美工平面设计,民营,20人以下,2019-09-20 00:51:51,大专,艺术/设计,3-5年,吉林市润兴经贸有限公司,3K-3.5K,吉林市,弹性工作包吃不加班
淘宝美工,民营,100-499人,2019-09-20 00:52:58,学历不限,艺术/设计,1-3年,阳江市阳东区大展五金制品厂,3K-5K,阳江,
美工设计,民营,20-99人,2019-09-20 00:50:56,大专,艺术/设计,1-3年,山东一味智能科技有限公司,5K-8K,临沂,每年多次调薪年终分红员工旅游带薪年假五险意外险
美工设计,民营,20人以下,2019-09-20 00:51:55,大专,艺术/设计,1-3年,合肥茶之六度电子商务有限公司,4K-6K,合肥,五险一金绩效奖金节日福利员工旅游
美工,民营,20-99人,2019-09-20 00:50:13,学历不限,艺术/设计,1-3年,湖南夜色肌成人用品有限公司,2K-4K,邵阳,年底双薪全勤奖包吃绩效奖金节日福利
礼品美工,民营,20-99人,2019-09-20 00:52:44,学历不限,艺术/设计,不限,上海利客礼品有限公司,5K-7K,上海-松江区,五险一金绩效奖金带薪年假年终分红员工旅游
美工设计,民营,20-99人,2019-09-20 00:52:49,中专,艺术/设计,1年以下,湖北互赢水产养殖专业合作社,2K-4K,孝感-汉川市,包吃包住全勤奖弹性工作定期团建
淘宝天猫美工设计师,民营,20-99人,2019-09-20 14:36:04,大专,艺术/设计,3-5年,苏州永通工业设备配件有限公司,6K-8K,苏州,五险一金年底双薪绩效奖金餐补带薪年假
平面修图美工,民营,500-999人,2019-09-20 14:32:45,学历不限,软件/互联网开发/系统集成,不限,河南六凹六物联网科技有限公司,4K-6K,郑州,五险一金包住全勤奖年底双薪绩效奖金
网页美工设计师,民营,500-999人,2019-09-20 14:32:45,学历不限,软件/互联网开发/系统集成,不限,河南六凹六物联网科技有限公司,4K-6K,郑州,五险一金包住全勤奖年底双薪绩效奖金
美工设计,民营,20-99人,2019-09-20 14:15:15,大专,艺术/设计,1-3年,湖南创智慧教育有限公司,4K-6K,长沙,五险包吃包住员工旅游节日福利
招聘美工    工资面议,合资,20-99人,2019-09-20 14:03:12,大专,软件/互联网开发/系统集成,1-3年,辽宁博派汽车销售服务有限公司,4K-6K,沈阳,
美工设计/天猫店美工,民营,100-499人,2019-09-20 14:13:39,大专,软件/互联网开发/系统集成,1-3年,晨光文具石家庄,3K-6K,石家庄,年底双薪全勤奖餐补带薪年假定期体检
美工,民营,100-499人,2019-09-20 14:34:01,大专,艺术/设计,1-3年,东莞市战地服饰有限公司,5K-7K,广州,员工旅游每年多次调薪全勤奖带薪年假不加班
淘宝美工,民营,20-99人,2019-09-20 14:16:00,大专,软件/互联网开发/系统集成,不限,广州米卡美容科技有限公司,5K-8K,广州,带薪年假节日福利员工旅游绩效奖金领导nice
美工文案策划微信公众号运营平面设计  双休,民营,100-499人,2019-09-20 14:07:16,大专,艺术/设计,1-3年,青岛微蜂创客帮网络科技有限责任公司,3.5K-5K,青岛,节日福利通讯补助带薪年假
美工/设计[包住],民营,20-99人,2019-09-20 14:47:03,本科,艺术/设计,1-3年,泉州壹零五贸易有限公司,4K-6K,泉州,包住全勤奖年终分红年底双薪五险
淘宝美工,民营,20-99人,2019-09-20 13:43:55,大专,软件/互联网开发/系统集成,不限,山东水贝儿环保设备有限公司,4K-6K,济南-历下区,五险绩效奖金不加班包吃
美工人员,民营,20-99人,2019-09-20 14:26:19,大专,艺术/设计,1-3年,无锡五邦安全软件有限公司,6K-8K,无锡,每年多次调薪五险一金绩效奖金餐补带薪年假
电商设计美工/淘宝天猫美工助理/需到司办公,民营,20人以下,2019-09-20 14:25:32,大专,互联网产品/运营管理,1-3年,南京聚美电器有限公司,4K-6K,南京,餐补交通补助全勤奖节日福利员工旅游
美工设计,民营,20人以下,2019-09-20 14:24:27,大专,艺术/设计,3-5年,沈阳新北方德商贸有限公司,2K-4K,沈阳,绩效奖金加班补助交通补助五险一金
电商美工设计师,民营,100-499人,2019-09-20 14:24:36,中专,艺术/设计,1年以下,泉州市速腾网络科技有限公司,6K-8K,泉州-丰泽区,带薪年假员工旅游节日福利每年多次调薪定期团建
淘宝美工,民营,20-99人,2019-09-20 14:24:04,大专,艺术/设计,1-3年,杭州琦材乐器有限公司,3K-5K,枣庄-峄城区,五险一金年底双薪绩效奖金加班补助全勤奖
网店美工,民营,20-99人,2019-09-20 14:41:04,学历不限,软件/互联网开发/系统集成,1-3年,石家庄润尼贸易有限公司,4K-6K,石家庄,五险一金定期体检员工旅游绩效奖金节日福利
电商美工,民营,100-499人,2019-09-20 14:32:02,大专,软件/互联网开发/系统集成,1-3年,山东泰山管乐器制造有限公司,4K-6K,烟台,绩效奖金
美工（六险一金）,股份制企业,100-499人,2019-09-20 14:16:12,大专,艺术/设计,1-3年,中盛业(山东)智能科技有限公司,4K-6K,济南,五险一金绩效奖金年终分红全勤奖带薪年假
电商美工助理,股份制企业,100-499人,2019-09-20 14:34:58,中专,艺术/设计,不限,微领地众力网络科技(深圳)有限公司,4K-6K,深圳,五险一金全勤奖绩效奖金带薪年假项目奖金
网页设计/美工,民营,1000-9999人,2019-09-20 11:49:46,大专,软件/互联网开发/系统集成,不限,河南碧水源电子科技有限公司,4K-6K,郑州,五险一金绩效奖金包住带薪年假不加班
淘宝美工（五险+意外险+带薪年假 ）,民营,100-499人,2019-09-20 14:25:38,大专,艺术/设计,1-3年,郑州海纳电子商务有限公司,4.5K-8K,郑州-二七区,五险一金绩效奖金全勤奖餐补房补
运营助理、销售、美工多职位,民营,20-99人,2019-09-20 14:22:13,大专,艺术/设计,1-3年,大连追梦科技有限公司,2K-4K,大连,包吃绩效奖金免费班车定期团建通讯补助
美工设计,民营,20-99人,2019-09-20 14:22:11,大专,艺术/设计,1-3年,吉林省吉富云数据医疗科技有限公司,4K-6K,长春,五险一金全勤奖餐补节日福利周末双休
淘宝设计师助理 天猫电商美工,股份制企业,100-499人,2019-09-20 13:34:07,学历不限,艺术/设计,无经验,石家庄大尊网络科技有限公司,3K-6K,石家庄,健身俱乐部周末双休五险一金绩效奖金年终分红
网店美工,股份制企业,100-499人,2019-09-20 14:21:25,大专,艺术/设计,1-3年,汕头市纳川塑胶制品有限公司,3K-6K,汕头,带薪年假餐补免费停车节日福利员工旅游
淘宝天猫美工餐补房补,民营,20-99人,2019-09-20 14:03:37,大专,艺术/设计,3-5年,广州星朵商贸有限公司,6K-8K,佛山-南海区,年底双薪绩效奖金全勤奖节日福利餐补
