职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
期货交易员（ 期货操盘手）,民营,20人以下,2019-09-20 10:22:08,大专,证券/期货/投资管理/服务,1年以下,成都考伊斯企业咨询有限公司,5K-10K,济南,五险一金年底双薪年终分红节日福利不加班
期货交易员（ 期货操盘手）,民营,20人以下,2019-09-20 10:22:08,大专,证券/期货/投资管理/服务,1年以下,成都考伊斯企业咨询有限公司,5K-10K,合肥,五险一金年底双薪年终分红节日福利不加班
客服/对账专员（信控专员）,民营,1000-9999人,2019-09-20 14:04:33,大专,客服/售前/售后技术支持,1-3年,上海全毅快递有限公司,薪资面议,深圳-龙岗区,五险一金绩效奖金带薪年假节日福利
客户经理业务销售周末双休（源城区）,民营,1000-9999人,2019-09-20 09:58:09,大专,销售业务,不限,中安信业创业投资有限公司,4K-6K,河源,五险一金交通补助餐补通讯补助带薪年假
销售代表客服,民营,500-999人,2019-09-20 11:22:02,学历不限,市场,不限,河南互连众信企业征信有限公司,6K-8K,郑州,五险一金绩效奖金包吃全勤奖房补
销售总监,民营,20-99人,2019-09-20 11:46:02,大专,销售管理,5-10年,浙江永禧投资管理有限公司,15K-20K,杭州-拱墅区,五险一金绩效奖金餐补通讯补助带薪年假
期货交易员（ 期货操盘手）,民营,20人以下,2019-09-20 10:22:08,大专,证券/期货/投资管理/服务,1年以下,成都考伊斯企业咨询有限公司,5K-10K,郑州,五险一金年底双薪年终分红节日福利不加班
信贷销售 客户经理（赣州）,民营,1000-9999人,2019-09-20 09:54:37,大专,销售业务,不限,中安信业创业投资有限公司,4K-6K,赣州,五险一金年终分红交通补助餐补通讯补助
城市合伙人,民营,100-499人,2019-09-20 10:41:25,学历不限,高级管理,5-10年,济南鼎舜股权投资基金管理有限公司,100K-150K,济南,绩效奖金股票期权员工旅游节日福利周末双休
销售业务客户经理（章贡区）,民营,1000-9999人,2019-09-20 09:57:47,中专,销售业务,不限,中安信业创业投资有限公司,4K-6K,赣州,五险一金绩效奖金交通补助餐补员工旅游
民航路地铁口6000+午餐+提成+五险一金,民营,500-999人,2019-09-20 11:22:03,学历不限,银行,不限,河南互连众信企业征信有限公司,6K-8K,郑州,五险一金绩效奖金包吃全勤奖房补
汽车金融产品总监,民营,20人以下,2019-09-20 14:12:12,本科,互联网产品/运营管理,5-10年,迈艾卡集团(杭州)有限公司,15K-20K,上海,五险一金节日福利周末双休绩效奖金带薪年假
信贷专员,民营,20-99人,2019-09-20 10:22:57,大专,银行,不限,西安淘海时光贸易有限公司,6K-8K,杭州-萧山区,五险一金定期体检餐补定期团建不加班
