职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
物业运营总监,民营,20-99人,2019-09-20 14:01:38,大专,互联网产品/运营管理,5-10年,石家庄市长九房地产开发有限公司,10K-15K,石家庄,五险一金绩效奖金节日福利
物业客服运营专员,民营,20-99人,2019-09-20 14:08:38,大专,物业管理,1-3年,北京华信汇泽资产管理有限公司,4K-6K,北京,五险一金试用期全额周末双休项目奖金包住
综合维修班长/主管（住宅/商业物业）,民营,100-499人,2019-09-20 12:15:02,学历不限,物业管理,1-3年,郑州中晟物业管理服务有限公司,3.2K-5K,郑州,五险一金包吃包住定期体检高温补贴
物业客服管家,民营,20-99人,2019-09-20 14:26:21,大专,物业管理,1-3年,阳江市阳东区鼎峰物业服务有限公司,3K-4K,阳江,年底双薪包吃五险一金节日福利带薪年假
物业收费兼职,合资,100-499人,2019-09-20 14:17:11,中专,物业管理,1-3年,杭州蛋生网络科技有限公司,1K-1K,杭州-滨江区,节日福利高温补贴弹性工作绩效奖金
物业维修工(东海二期),民营,100-499人,2019-09-20 14:23:07,中技,物业管理,1-3年,上海安荣物业管理服务有限公司,4K-5K,上海,五险一金年底双薪加班补助餐补带薪年假
物业管家助理（木渎胥江城市花园）,民营,10000人以上,2019-09-20 14:15:34,大专,客服/售前/售后技术支持,1-3年,江苏苏南万科物业服务有限公司,2K-4K,苏州-吴中区,五险一金餐补高温补贴包住节日福利
财务共享服务中心流程管理经理,股份制企业,1000-9999人,2019-09-20 14:01:13,大专,财务/审计/税务,5-10年,沈阳万科物业服务有限公司,8K-16K,沈阳,加班补助带薪年假五险一金餐补定期体检
青岛万科物业诚聘房产经纪人,股份制企业,10000人以上,2019-09-20 14:10:07,大专,房地产开发/经纪/中介,不限,北京万科物业服务有限公司青岛分公司,3.5K-6K,青岛,高温补贴节日福利定期团建绩效奖金包住
物业主管（医院）,民营,1000-9999人,2019-09-20 14:06:12,大专,物业管理,3-5年,上海永升物业管理有限公司,6K-8K,杭州-拱墅区,五险一金交通补助餐补节日福利高温补贴
物业客服助理,合资,20-99人,2019-09-20 10:40:19,大专,物业管理,不限,北京金融街第一太平戴维斯物业管理有限公司广州分公司,4K-6K,广州,五险一金全勤奖绩效奖金带薪年假定期体检
物业项目经理,不限,500-999人,2019-09-20 14:02:38,大专,物业管理,3-5年,江苏福田物业发展有限公司,6K-8K,昆山,绩效奖金全勤奖交通补助餐补
