职位名称,公司类型,公司规模,发布时间,工作要求,工作类型,工作经验,公司名称,职位月薪,工作地点,公司待遇
可转编制银行公积金柜员岗（南山前海）,民营,10000人以上,2019-09-20 10:02:23,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳,五险一金绩效奖金周末双休
某商业银行公积金柜员岗（轻松稳定、可转编制、南山前海）,民营,10000人以上,2019-09-20 10:00:12,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳,五险一金绩效奖金周末双休
银行线上柜员/纯客服216,股份制企业,500-999人,2019-09-19 18:02:23,大专,客服/售前/售后技术支持,不限,成都汉威荣创科技有限责任公司,4K-6K,成都,五险一金年底双薪绩效奖金餐补员工旅游
银行公积金柜员（罗湖）,民营,10000人以上,2019-09-20 09:58:53,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳-罗湖区,五险一金绩效奖金定期体检免费班车定期团建
银行公积金柜员（福田）,民营,10000人以上,2019-09-20 09:59:36,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳-福田区,五险一金绩效奖金不加班节日福利高温补贴
FESCO代某股份制银行招聘柜员,国企,500-999人,2019-09-11 17:10:41,本科,银行,1-3年,北京外企人力资源服务有限公司,6K-8K,北京,五险一金绩效奖金
某银行公积金柜员可转编制（福田）,民营,10000人以上,2019-09-20 10:00:11,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳-福田区,五险一金
银行公积金柜员（南山前海）,民营,10000人以上,2019-09-20 10:00:18,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳-南山区,五险一金绩效奖金不加班节日福利员工旅游
银行综合柜员,股份制企业,10000人以上,2019-09-06 08:16:24,本科,银行,1-3年,中国平安人寿保险股份有限公司重庆市江北支公司五里店营业部五部,10K-15K,重庆,周末双休五险一金绩效奖金全勤奖弹性工作
银行厅堂大堂经理和柜员,民营,100-499人,2019-09-20 09:55:57,大专,银行,不限,河南实诺金融服务有限公司,2.5K-5K,许昌,绩效奖金节日福利五险
银行柜员,民营,1000-9999人,2019-09-19 09:38:34,大专,银行,不限,安徽银雁金融外包服务有限公司,2.7K-5K,马鞍山,绩效奖金带薪年假补充医疗保险节日福利
银行销售柜员/国企正编,国企,10000人以上,2019-09-11 22:34:10,学历不限,行政/后勤/文秘,不限,太平人寿保险有限公司庐江支公司,8K-10K,黄冈-黄梅县,国企直招银行平台六险两金周末双休年底双薪
某商业银行公积金柜员岗（轻松稳定、南山前海）,民营,10000人以上,2019-09-20 10:02:24,大专,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳,五险一金绩效奖金周末双休
银行柜员,民营,不限,2019-09-20 10:21:18,大专,银行,不限,辽宁翔凤人力资源有限公司,4K-6K,沈阳,五险一金免费班车带薪年假包住
某商业银行公积金柜员岗（可转编制、凤岗）,民营,10000人以上,2019-09-20 10:01:44,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳,五险一金绩效奖金周末双休
某商业银行公积金柜员岗（可转编制、福田福景）,民营,10000人以上,2019-09-20 10:00:12,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳,五险一金绩效奖金周末双休
正式直签辽阳银行沈阳支行客户经理柜员32周岁以内本科学历,民营,20-99人,2019-09-12 10:35:41,大专,银行,不限,抚顺市新抚区聚英人力输送服务中心,4K-6K,沈阳,五险一金绩效奖金带薪年假无试用期定期体检
银行公积金柜员可转编制（龙岗）,民营,10000人以上,2019-09-20 10:00:11,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳-龙岗区,五险一金
FESCO代某国有银行招聘柜员,国企,500-999人,2019-09-20 09:24:31,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京-东城区,五险一金绩效奖金全勤奖
FESCO代某股份制银行招聘派遣柜员-密云区,国企,500-999人,2019-09-20 09:24:29,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京-密云县,五险一金带薪年假补充医疗保险节日福利
招聘银行柜员,民营,20-99人,2019-09-05 09:31:09,大专,银行,不限,北京首用科技有限公司,6K-8K,北京,五险一金包住高温补贴员工旅游每年多次调薪
某商业银行公积金柜员岗（轻松稳定、可转编制、福田）,民营,10000人以上,2019-09-20 10:01:46,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳,五险一金绩效奖金周末双休
FESCO代某国有银行招聘柜员,国企,500-999人,2019-09-20 09:24:31,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京-朝阳区,五险一金绩效奖金全勤奖
FESCO代某国有银行招聘柜员,国企,500-999人,2019-09-20 09:24:29,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京-西城区,五险一金绩效奖金
国有银行招聘柜员,国企,500-999人,2019-09-20 09:24:30,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京,五险一金
FESCO代银行招聘综合柜员[北京],国企,500-999人,2019-09-20 09:24:31,大专,银行,1-3年,北京外企人力资源服务有限公司,6K-8K,北京,五险一金绩效奖金全勤奖
FESCO代某股份制银行招聘派遣柜员-昌平区 ,国企,500-999人,2019-09-20 09:24:30,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京-昌平区,五险一金带薪年假节日福利
银行公积金柜员岗（可转编制+福田福民）,民营,10000人以上,2019-09-20 10:00:17,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳,五险一金绩效奖金周末双休
FESCO代某股份制银行招聘派遣柜员-大兴新机场 ,国企,500-999人,2019-09-20 09:24:30,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京-大兴区,五险一金带薪年假补充医疗保险节日福利
国有银行总行柜员,国企,500-999人,2019-09-20 09:24:29,大专,银行,不限,北京外企人力资源服务有限公司,5K-10K,北京-西城区,节日福利五险一金带薪年假补充医疗保险绩效奖金
Fesco代国有银行招聘综合柜员,国企,500-999人,2019-09-20 09:24:29,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京,
FESCO代某国有银行招聘柜员-中关村,国企,500-999人,2019-09-20 09:24:31,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京-海淀区,五险一金绩效奖金全勤奖
FESCO代某国有银行招聘柜员,国企,500-999人,2019-09-20 09:24:31,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京-通州区,五险一金绩效奖金全勤奖
成都某银行柜员！,民营,20人以下,2019-09-13 01:34:01,大专,银行,不限,重庆和纵人力资源管理有限公司,4K-8K,成都,晋升机会多晋升空间大节日福利加班补助五险一金
FESCO代国有银行招聘派遣柜员[北京],国企,500-999人,2019-09-20 09:24:29,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京,五险一金绩效奖金
FESCO代某国有银行招聘柜员,国企,500-999人,2019-09-20 09:24:29,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京-丰台区,五险一金绩效奖金
银行公积金柜员岗（可转编制+福田车公庙）,民营,10000人以上,2019-09-20 09:58:54,本科,银行,不限,银雁科技服务集团股份有限公司,4K-6K,深圳,五险一金绩效奖金周末双休
FESCO代某股份制银行招聘派遣柜员,国企,500-999人,2019-09-11 17:19:59,本科,银行,1-3年,北京外企人力资源服务有限公司,6K-8K,北京,五险一金绩效奖金
FESCO代某股份制银行招聘柜员,国企,500-999人,2019-09-20 09:24:30,本科,银行,1-3年,北京外企人力资源服务有限公司,4K-8K,北京,五险一金绩效奖金全勤奖
企业银行（中国）青岛地区分（支）行-综合柜员,外商独资,100-499人,2019-09-04 14:38:58,本科,银行,不限,企业银行(中国)有限公司,4K-6K,青岛-崂山区,节日福利五险一金加班补助带薪年假定期体检
FESCO代某国有银行招聘柜员-中关村,国企,500-999人,2019-09-20 09:24:31,大专,银行,不限,北京外企人力资源服务有限公司,6K-8K,北京-昌平区,五险一金绩效奖金全勤奖
企业银行烟台分行-综合柜员,外商独资,100-499人,2019-08-26 13:37:17,本科,银行,不限,企业银行(中国)有限公司,4K-6K,烟台-芝罘区,五险一金加班补助带薪年假定期体检高温补贴
