浦东,2室1厅1厨1卫,高楼层(共6层),60.5,1994,精装,无,332,58,1,23,48,1663,326
浦东,2室1厅1厨1卫,高楼层(共6层),61.03,1997,简装,无,320,64,0,18,5,902,310
浦东,2室2厅1厨1卫,高楼层(共11层),100.38,2008,精装,有,255,656,1,3,6,2256,241.5
浦东,3室2厅1厨1卫,中楼层(共11层),111.04,2006,简装,有,425,21,1,13,6,351,408
浦东,2室1厅1厨1卫,高楼层(共6层),70.51,1995,简装,无,398,7,0,6,13,242,382
浦东,2室1厅1厨1卫,高楼层(共6层),59.06,1996,简装,无,320,74,1,14,33,1376,318
浦东,2室1厅1厨1卫,高楼层(共6层),65.61,1994,简装,无,218,63,1,29,54,1862,200
浦东,2室1厅1厨1卫,中楼层(共5层),48.89,1983,精装,无,87,297,1,34,91,8072,84
浦东,3室2厅1厨1卫,中楼层(共11层),87.53,2012,精装,有,335,13,0,9,31,678,323.2
浦东,2室2厅1厨2卫,中楼层(共29层),109.42,2006,简装,有,1170,32,1,9,9,773,1070
浦东,1室1厅1厨1卫,中楼层(共6层),31.77,1984,简装,无,180,20,0,1,0,2,178.8
浦东,1室1厅1厨1卫,低楼层(共6层),39.88,1989,精装,无,328,8,0,2,0,97,323
浦东,2室1厅1厨1卫,高楼层(共4层),72,1993,精装,无,268,11,0,20,18,443,258
浦东,2室1厅1厨1卫,高楼层(共25层),65.4,1990,简装,有,408,413,1,23,1,3,405
浦东,2室2厅1厨1卫,中楼层(共8层),89.23,2010,毛坯,有,485,281,1,220,138,4649,480
浦东,1室1厅1厨1卫,中楼层(共6层),31.42,1984,简装,无,178,9,1,3,2,56,172
浦东,2室0厅1厨1卫,高楼层(共6层),46.9,1986,精装,无,440,40,1,37,36,1230,438
浦东,2室1厅1厨1卫,低楼层(共7层),75.19,2004,其他,无,480,2,0,1,21,115,485
浦东,1室1厅1厨1卫,高楼层(共13层),60.83,2007,简装,有,430,244,1,10,80,4119,413
浦东,3室1厅1厨2卫,中楼层(共6层),130,1999,精装,暂无数据,260,659,1,24,113,10675,250
浦东,2室2厅1厨1卫,中楼层(共14层),88.43,2013,简装,有,430,6,0,1,7,172,407
浦东,2室2厅1厨2卫,中楼层(共6层),88.38,1997,精装,无,450,55,1,13,70,1386,426
浦东,3室2厅1厨1卫,中楼层(共13层),89.04,2013,毛坯,有,180,63,1,3,8,1048,171.6
浦东,2室2厅1厨1卫,低楼层(共6层),88.03,1994,精装,无,280,3,0,1,0,84,270
浦东,2室2厅1厨1卫,低楼层(共18层),97,未知,毛坯,暂无数据,460,62,0,14,8,497,460
浦东,1室1厅1厨1卫,中楼层(共6层),55.9,2012,精装,无,162,17,0,6,9,410,160
浦东,2室1厅1厨1卫,低楼层(共6层),72.24,1995,简装,无,335,34,1,2,58,932,326
浦东,2室1厅1厨1卫,低楼层(共18层),79,2014,精装,有,197,3,0,1,3,120,194.7
浦东,2室1厅1厨1卫,中楼层(共6层),54.33,1984,简装,无,342,12,0,7,6,448,335
浦东,3室2厅1厨1卫,高楼层(共11层),108.42,2001,简装,有,998,498,1,410,388,60532,955
