地区,户型,楼层高度,建筑面积/㎡,建成年代/年,装修情况,有无电梯	,挂牌价/万,成交周期/天,调价次数/次,带看次数,关注人数,浏览次数,成交价/万
东城,1室0厅1厨1卫,低楼层(共21层),62.22,2005,毛坯,有,470,319,1,166,45,4274,448
东城,2室1厅1厨1卫,低楼层(共11层),74.81,2002,精装,有,780,78,0,50,51,1784,750
东城,1室1厅1厨1卫,底层(共6层),37.47,1990,精装,无,456,230,1,25,6,94,454
东城,1室0厅1厨1卫,中楼层(共17层),64.87,2000,简装,有,490,76,1,24,5,1340,465
东城,2室1厅1厨1卫,高楼层(共17层),94.38,2006,精装,有,838,52,1,25,42,1691,800
东城,1室0厅1厨1卫,低楼层(共16层),46,2007,精装,有,470,324,1,25,75,7360,460
东城,1室1厅1厨1卫,低楼层(共6层),40.98,1996,精装,无,505,28,1,22,35,671,493
东城,1室0厅1厨1卫,低楼层(共22层),47.94,2007,精装,有,500,17,0,12,5,252,480
东城,2室1厅1厨1卫,中楼层(共6层),58.16,1982,简装,无,618,6,0,2,7,192,595
东城,2室1厅1厨1卫,中楼层(共16层),113.34,2003,精装,有,1098,36,1,12,14,334,1060
东城,3室1厅1厨1卫,中楼层(共17层),121.97,1998,简装,有,1150,611,1,47,17,5094,1100
东城,1室1厅1厨1卫,顶层(共22层),63.45,2004,精装,有,520,69,1,34,71,1685,516
东城,2室1厅1厨1卫,底层(共5层),55.07,1983,其他,无,510,18,1,4,29,355,480
东城,1室1厅1厨1卫,高楼层(共18层),46.6,2005,简装,有,465,39,1,9,13,736,458
东城,2室2厅1厨1卫,中楼层(共6层),95.33,1991,简装,无,905,590,1,62,56,5233,879
东城,2室2厅1厨2卫,中楼层(共23层),101.96,1997,精装,有,770,11,0,5,12,343,740
东城,2室1厅1厨1卫,中楼层(共6层),65.16,1998,其他,无,700,3,0,6,8,92,690
东城,2室1厅1厨1卫,中楼层(共6层),48.81,1979,精装,暂无数据,456,25,1,15,28,531,442
东城,2室1厅1厨1卫,高楼层(共6层),54.92,1980,精装,无,518,260,0,8,51,6078,510
东城,2室1厅1厨1卫,中楼层(共14层),65.67,1986,精装,有,590,25,1,9,13,695,555
