ok,msg,created_at,ids,mid,can_edit,raw_text,source,user_description,user_follow_count,user_gender,user_id,user_mbrank,user_mbtype,user_profile_url,user_profile_image_url,user_screen_name,user_statuses_count,user_urank,user_verified,user_veridied_reason,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385801770943568,4385801770943568,False,转发,iPhone客户端,提拉米苏girl，希望有一天能去日本看苏打个八爷❀.(*´▽`*)❀.,220,m,2263161930,1,2,https://m.weibo.cn/u/2263161930?uid=2263161930,https://tvax4.sinaimg.cn/crop.0.0.896.896.180/86e51c4aly8g3eorq7vfuj20ow0owaew.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-22,4385793202336204,4385793202336204,False,你嫁的是日本艺人，不是日本战犯，不要因污浊的评论影响新婚快乐的喜悦[心],荣耀9 美得有声有色,,13,f,6345972816,0,0,https://m.weibo.cn/u/6345972816?uid=6345972816,https://tvax3.sinaimg.cn/crop.0.0.1006.1006.180/006Vt3qgly8firlijb6unj30ry0rygni.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-21,4385761216222682,4385761216222682,False,回复@决堤怎么提:支持你，任何时候不忘国耻，对于那些好了伤疤忘了疼的人来说当然支持，恭喜？？丢人现眼！明星的钱更多，都带回日本，造飞机大炮打到你们这这人家里的时候，看你们拿什么恭喜//@决堤怎么提:林志玲滚出中国,OPPO R9s Plus,,54,m,5526859593,0,0,https://m.weibo.cn/u/5526859593?uid=5526859593,https://tvax1.sinaimg.cn/crop.0.0.960.960.180/006228EFly8g0mh9n1eznj30qo0qodhe.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-21,4385740643149315,4385740643149315,False,转发微博,微博 weibo.com,为什么不提早说？[允悲],549,f,3122616560,0,0,https://m.weibo.cn/u/3122616560?uid=3122616560,https://tva3.sinaimg.cn/crop.0.0.180.180.180/ba1f58f0jw1e8qgp5bmzyj2050050aa8.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-21,4385723753187164,4385723753187164,False,[心][心][心][兔子][兔子],iPhone客户端,时间不会因我而走的慢一些,35,f,5848360691,3,2,https://m.weibo.cn/u/5848360691?uid=5848360691,https://tvax3.sinaimg.cn/crop.0.0.996.996.180/006nN7Mfly8fnbwvuwt98j30ro0ro0w5.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-21,4385707063288765,4385707063288765,False,转发微博,微博 weibo.com,,257,f,3988613986,1,2,https://m.weibo.cn/u/3988613986?uid=3988613986,https://tva1.sinaimg.cn/crop.0.0.170.170.180/edbd6b62jw1ecnyz6dha7j204q04qdfr.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-21,4385697760586798,4385697760586798,False,我今天才看到[泪][泪][泪]祝福女神,iPhone客户端,自由自在,154,f,5701465416,1,2,https://m.weibo.cn/u/5701465416?uid=5701465416,https://tvax3.sinaimg.cn/crop.0.0.750.750.180/006dQLBCly8g1vknc1texj30ku0kuwg0.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-21,4385689313139301,4385689313139301,False,转发微博,微博 weibo.com,幸福的家庭都是相似的，不幸的家庭各有各的不幸。,388,m,5784666510,0,0,https://m.weibo.cn/u/5784666510?uid=5784666510,https://tva3.sinaimg.cn/crop.0.0.200.200.180/006jtS0Kjw1eyq5qgngk0j305k05k3ym.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-21,4385683168850752,4385683168850752,False,转发微博,微博 weibo.com,周末愉快,970,f,3249495615,0,0,https://m.weibo.cn/u/3249495615?uid=3249495615,https://tva3.sinaimg.cn/crop.0.0.180.180.180/c1af5e3fjw1eepchc0f1kj2050050aa3.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,数据获取成功,06-21,4385667574076467,4385667574076467,False,转发微博,微博 weibo.com,,323,m,5888590029,0,0,https://m.weibo.cn/u/5888590029?uid=5888590029,https://tva2.sinaimg.cn/crop.0.0.150.150.180/006qvVgxjw1f2jo4eonm8j3046046t8p.jpg,林志玲,845,42,True,女演員、中國扶貧基金會志玲姐姐之家築巢專案項目發起人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
